central_asset_id,site_name,suburb,Long,Lat
PG000209,Fitzgerald Square Reserve,Sunshine West,144.791736,-37.793768
PG000210,Hatchlands Drive/Ashgrove Drive Reserve,Deer Park,144.75973,-37.776761
PG000211,Haddon Grn/Queensberry St Reserve,Derrimut,144.75849,-37.78569
PG000213,More Park,Ardeer,144.796133,-37.776235
PG000214,Green Gully Traffic School,Keilor Downs,144.818864,-37.725986
PG000215,Green Gully Traffic School,Keilor Downs,144.818654,-37.725536
PG000222,Alexandra Avenue Child Care Centre,Sunshine,144.837785,-37.78297
PG000223,Cairnlea Community Hub,Cairnlea,144.787773,-37.75827
PG000224,Cairnlea Community Hub,Cairnlea,144.788072,-37.758505
PG000225,Kealba Community Centre,Kealba,144.825277,-37.730039
PG000226,Kealba Community Centre,Kealba,144.82503,-37.730349
PG000227,Nancy Street Reserve,Sunshine West,144.794622,-37.784488
PG000228,Lloyd Reserve,Sunshine North,144.823338,-37.764737
PG000229,Sunshine Leisure Centre,Sunshine,144.834975,-37.784097
PG000230,St Albans Leisure Centre,Keilor Downs,144.805445,-37.728065
PG000231,University Park Primary School Reserve,St Albans,144.80268,-37.754344
PG000232,SEC Easement - Ridgeway Parade to Whites,Sunshine West,144.809695,-37.786032
PG000233,Cyril Clements Reserve,Kings Park,144.778424,-37.739733
PG000234,Sunshine Reserve,Sunshine West,144.796698,-37.794124
PG000019,Biggs Street Community Centre,St Albans,144.813992,-37.737865
PG000180,Sydenham Children's Hub,Sydenham,144.763301,-37.702512
PG000235,Keilor Park Preschool,Keilor Park,144.858451,-37.720421
PG000236,Lady Nelson/Proctor Reserve,Keilor Downs,144.78366,-37.711772
