"Site_Code","Site_Name","Category","Area","Long","Lat"
"P3046","Sydenham Basin Reserve","Local Park",49663.86,144.76019,-37.695396
"P0138","Sydenham Basin Reserve BBQ Area","Local Park",4998.51,144.760797,-37.695988
"P0142","Tarella Drive Reserve","Local Park",2840.82,144.81434,-37.723795
"P0145","Varna Place Reserve","Local Park",6545.34,144.807617,-37.721705
"P0147","Wahgunyah Drive Reserve","Suburban Park",15930.60,144.82694,-37.750223
"P0149","Wheelahan Gardens","Neighbourhood Park",16934.34,144.838544,-37.78651
"P0152","Willys/Sunshine Avenue Reserve","Local Park",2369.96,144.803347,-37.71908
"P0173","Station Waters Reserve","Neighbourhood Park",50817.57,144.779267,-37.762254
"P0085","Keilor Recreation Reserve","Neighbourhood Park",47187.65,144.833702,-37.717539
"P0202","Parsons Street Blocks","Local Park",2146.00,144.841826,-37.791335
"P0203","Profita Reserve","Local Park",7388.91,144.769839,-37.704865
"P0204","Reeves Estate Reserve","Local Park",10947.68,144.827504,-37.714848
"P0206","Salamander Drive Reserve","Neighbourhood Park",16576.81,144.789939,-37.692683
"P0209","Coolamon Street Heritage Reserve","Park / Reserve",1825.66,144.82089,-37.779224
"P0212","Reserve side of Gladstone St., Cairnlea","Local Park",14725.52,144.780441,-37.747067
"P3000","Bellbird Avenue Drainage Easement","Local Park",4851.62,144.785095,-37.697305
"P3003","Deer Park Urban Forest North (Neale to P","Local Park",37566.65,144.768131,-37.753791
"P3005","Dundee/The Basin Reserve Drainage Easeme","Park / Reserve",272.16,144.759023,-37.694738
"P3009","Kurung/Gillespie Easement","Park / Reserve",7337.54,144.766537,-37.732506
"P3011","McCubbin/Robertson Easement","Local Park",30975.16,144.770094,-37.692899
"P3012","Whiteley Parade Reserve","Suburban Park",39422.24,144.772896,-37.689246
"P3045","Robertsons Road to proposed industrial e","Park / Reserve",99141.69,144.773608,-37.68524
"P3013","Meadowbank Drive Easement","Park / Reserve",9518.44,144.822469,-37.759981
"P3023","Allied Drive Easement","Park / Reserve",4408.48,144.87228,-37.713197
"P3024","Beverage Drive/Steeles Creek Area","Park / Reserve",84573.59,144.861843,-37.718874
"P0005","Ardeer Reserve","Park / Reserve",16133.29,144.806367,-37.778244
"P0008","Taylors Creek Linear Park","Neighbourhood Park",7580.35,144.820593,-37.711292
"P0026","Burrowye Crescent Reserve","Local Park",2935.25,144.81549,-37.707248
"P0031","Calder Rise Park","Suburban Park",25866.00,144.823196,-37.716365
"P0033","Castley Reserve","Neighbourhood Park",12526.01,144.815566,-37.790849
"P0034","Churchill Reserve","Neighbourhood Park",51499.31,144.814822,-37.733031
"P0037","Cobb/Stockyard/Pecks Access Way","Local Park",2403.37,144.768344,-37.699402
"P0038","Cocoparra Crescent Reserve","Neighbourhood Park",11599.10,144.799923,-37.709758
"P0049","Cyril Clements Reserve","Neighbourhood Park",53000.76,144.778699,-37.73834
"P0052","Davitt Reserve","Suburban Park",23768.52,144.76365,-37.761797
"P0054","Dempster Park","Neighbourhood Park",47853.28,144.837811,-37.775204
"P0055","Diamond Avenue Reserve","Neighbourhood Park",29300.69,144.773627,-37.745506
"P0057","Dongola Road Reserve","Neighbourhood Park",1982.83,144.812144,-37.728284
"P0060","Duke Street Reserve","Suburban Park",35632.95,144.849583,-37.77228
"P0068","Garden Avenue Reserve","Local Park",616.09,144.836443,-37.726784
"P0071","Glyndon/Station Reserve","Local Park",2892.15,144.816272,-37.743216
"P0078","Highcombe Crescent Reserve","Neighbourhood Park",7081.16,144.791019,-37.729977
"P0081","Jackman Crescent Reserve","Local Park",2790.27,144.825288,-37.710947
"P0082","Jamieson Street Reserve","Suburban Park",51466.48,144.787385,-37.741194
"P0083","Keilor Downs Recreation Reserve","Neighbourhood Park",27241.45,144.79663,-37.72345
"P0193","Arthur Kiellerup Reserve","Park / Reserve",6193.79,144.832923,-37.718048
"P0089","Lady Nelson/Proctor Reserve","Neighbourhood Park",7157.95,144.783108,-37.711824
"P0090","Laffan Reserve","Park / Reserve",559.09,144.830611,-37.795772
